Company Name,City,State,Location
ADVANTAGED SOLUTIONS INCORPORATED,POTOMAC,MARYLAND,"39.0181651, -77.2085914"
ADVANTOR SYSTEMS CORPORATION,ORLANDO,FLORIDA,"28.5383832, -81.3789269"
AECOM - B&V CIVIL WORKS JV,ROANOKE,VIRGINIA,"37.2709116, -79.94494949999999"
AECOM - GARVER KANSAS CITY DESIGN SERVICES JV,COLUMBUS,OHIO,"39.9625112, -83.0032218"
AECOM - HDR JOINT VENTURE DESIGN TEAM JV,CLIFTON,NEW JERSEY,"40.8654493, -74.1610268"
AECOM + TETRA TECH JOINT VENTURE,BOSTON,MASSACHUSETTS,"42.3555076, -71.0565364"
AECOM GARVER FTW MILCON JV,HOUSTON,TEXAS,"29.7600771, -95.37011079999999"
"AECOM SERVICES, INC.",ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
"AECOM TECHNICAL SERVICES, INC.",LOS ANGELES,CALIFORNIA,"34.0549076, -118.242643"
AECOM-B&V LAKES AND RIVERS JV,LOUISVILLE,KENTUCKY,"38.2468618, -85.7663724"
AECOM-BAKER NAVFAC ATLANTIC A-E DESIGN JV,ROANOKE,VIRGINIA,"37.2709116, -79.94494949999999"
AECOM-BAKER-CARDNO NAVFAC ATLANTIC PLANNING JV,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
AEGIS SCIENCES CORPORATION,NASHVILLE,TENNESSEE,"36.1626638, -86.7816016"
"AEP ENERGY, INC.",CHICAGO,ILLINOIS,"41.8781136, -87.6297982"
AERIS LLC,LOUISVILLE,COLORADO,"39.977763, -105.1319296"
"AERO PRECISION REPAIR & OVERHAUL COMPANY, INC.",DEERFIELD BEACH,FLORIDA,"26.3184123, -80.09976569999999"
AERO TURBINE INC,STOCKTON,CALIFORNIA,"37.9575104, -121.2924737"
"AEROCONTROLEX GROUP, INC.",PAINESVILLE,OHIO,"41.7244885, -81.245657"
"AEROJET ROCKETDYNE OF DE, INC",CANOGA PARK,CALIFORNIA,"34.2083086, -118.5975318"
"AEROJET ROCKETDYNE, INC.",JUPITER,FLORIDA,"26.9318533, -80.1023696"
"AEROJET ROCKETDYNE, INC.",REDMOND,WASHINGTON,"47.6739881, -122.121512"
"AEROSPACE & COMMERCIAL TECHNOLOGIES, LLC",FORT WORTH,TEXAS,"32.7554883, -97.3307658"
"AEROVIRONMENT, INC.",SIMI VALLEY,CALIFORNIA,"34.2694474, -118.781482"
"AEVEX AEROSPACE, LLC",SOLANA BEACH,CALIFORNIA,"32.991155, -117.2711481"
"AFFILIATED ENGINEERS METRO DC, INC.",ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
"AFFORDABLE INTERIOR SYSTEMS, INC.",LEOMINSTER,MASSACHUSETTS,"42.5250906, -71.759794"
AGEISS INC.,LAKEWOOD,COLORADO,"39.7047095, -105.0813734"
AGFA HEALTHCARE CORPORATION,GREENVILLE,SOUTH CAROLINA,"34.8484984, -82.40001579999999"
AGFA US CORP.,GREENVILLE,SOUTH CAROLINA,"34.8484984, -82.40001579999999"
"AGILE DEFENSE, LLC",RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
AGILENT TECHNOLOGIES INC,WILMINGTON,DELAWARE,"39.744655, -75.5483909"
AGILITI HEALTH INC,EDEN PRAIRIE,MINNESOTA,"44.8546856, -93.47078599999999"
AGRIBUSINESS DEVELOPMENT CORPORATION,HONOLULU,HAWAII,"21.3098845, -157.8581401"
AGROPUR INC.,APPLETON,WISCONSIN,"44.2622712, -88.40710469999999"
AGUSTAWESTLAND PHILADELPHIA CORPORATION,PHILADELPHIA,PENNSYLVANIA,"39.9525839, -75.1652215"
"AH/BC NAVY JV, LLC",NEWPORT NEWS,VIRGINIA,"37.0870821, -76.4730122"
"AINS, LLC",GAITHERSBURG,MARYLAND,"39.1439689, -77.2016062"
"AIR CENTER HELICOPTERS, INC.",BURLESON,TEXAS,"32.5424289, -97.3230849"
"AIR CRUISERS COMPANY, LLC",WALL TOWNSHIP,NEW JERSEY,"40.1703777, -74.0928666"
AIRBORNE SYSTEMS NORTH AMERICA OF CA INC.,SANTA ANA,CALIFORNIA,"33.7454725, -117.867653"
AIRBORNE TACTICAL ADVANTAGE CO LLC,NEWPORT NEWS,VIRGINIA,"37.0870821, -76.4730122"
AIRBOSS DEFENSE GROUP LLC,JESSUP,MARYLAND,"39.1492746, -76.7752493"
"AIRBUS HELICOPTERS, INC.",GRAND PRAIRIE,TEXAS,"32.7459645, -96.99778459999999"
"AIRBUS U.S. SPACE & DEFENSE, INC.",ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
"AIRCRAFT WHEEL AND BRAKE, LLC",AVON,OHIO,"41.4517093, -82.03542250000001"
"AIRGAS USA, LLC",LONG BEACH,CALIFORNIA,"33.7700504, -118.1937395"
"AKIMA GLOBAL SERVICES, LLC",HERNDON,VIRGINIA,"38.9695545, -77.3860976"
"AKIMA SUPPORT OPERATIONS, LLC",COLORADO SPRINGS,COLORADO,"38.8353142, -104.8216009"
"ALABAMA CONTROLS, INC.",HOOVER,ALABAMA,"33.4053867, -86.8113781"
ALABAMA DEPARTMENT OF HEALTH,MONTGOMERY,ALABAMA,"32.3792233, -86.3077368"
ALABAMA DEPT OF REHABILITATION SERVICES,MONTGOMERY,ALABAMA,"32.3792233, -86.3077368"
ALABAMA POWER COMPANY,BIRMINGHAM,ALABAMA,"33.5185892, -86.8103567"
ALASKA AEROSPACE CORPORATION,ANCHORAGE,ALASKA,"61.2175758, -149.8996785"
"ALASKA AIRLINES, INC.",SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
"ALASKA MARINE LINES, INC.",SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
ALBERICI CONSTRUCTORS INC,SAINT LOUIS,MISSOURI,"38.6270025, -90.19940419999999"
ALCATRAZ ISLAND SERVICES LLC,SAN FRANCISCO,CALIFORNIA,"37.7749295, -122.4194155"
ALCOHOLISM SERVICES OF KNOXVILLE INC,KNOXVILLE,TENNESSEE,"35.965266, -83.923304"
"ALEXION PHARMACEUTICALS, INC.",NEW HAVEN,CONNECTICUT,"41.308274, -72.9278835"
ALGOOD FOOD CO,LOUISVILLE,KENTUCKY,"38.2468618, -85.7663724"
ALION SCIENCE AND TECHNOLOGY CORPORATION,MC LEAN,VIRGINIA,"38.9338676, -77.1772604"
ALION SCIENCE AND TECHNOLOGY CORPORATION,BEAVERCREEK,OHIO,"39.7092262, -84.06326849999999"
"ALL POINTS LOGISTICS, LLC",MERRITT ISLAND,FLORIDA,"28.3180688, -80.6659842"
"ALLCLEAR AEROSPACE & DEFENSE, INC.",MIRAMAR,FLORIDA,"25.9860762, -80.30356019999999"
ALLEN & OVERY LLP,NEW YORK,NEW YORK,"40.7127753, -74.0059728"
ALLIANT TECHSYSTEMS OPERATIONS LLC,FORT WORTH,TEXAS,"32.7554883, -97.3307658"
ALLIANT TECHSYSTEMS OPERATIONS LLC,NORTHRIDGE,CALIFORNIA,"34.2354576, -118.5361381"
ALLIANT TECHSYSTEMS OPERATIONS LLC,PLYMOUTH,MINNESOTA,"45.0105194, -93.4555093"
ALLISON TRANSMISSION INC,INDIANAPOLIS,INDIANA,"39.76909, -86.158018"
ALLIUM US HOLDING LLC,ENGLEWOOD,COLORADO,"39.6477653, -104.9877597"
ALLOY SURFACES CO INC,ASTON,PENNSYLVANIA,"39.868899, -75.4284148"
ALLUCENT GOVERNMENT SERVICES (US) LLC,CARY,NORTH CAROLINA,"35.7890402, -78.77976439999999"
"ALON USA, LP",BRENTWOOD,TENNESSEE,"36.0331164, -86.78277720000001"
ALPHA MARINE SERVICES LLC,CUT OFF,LOUISIANA,"29.5427168, -90.3381361"
ALSTOM RENEWABLE US LLC,GREENWOOD VILLAGE,COLORADO,"39.6172101, -104.9508141"
"ALSTON WILKES SOCIETY, INC",COLUMBIA,SOUTH CAROLINA,"34.0008322, -81.035147"
ALTAMIRA TECHNOLOGIES CORP,MC LEAN,VIRGINIA,"38.9338676, -77.1772604"
ALTARUM INSTITUTE,NOVI,MICHIGAN,"42.48059, -83.4754913"
"ALTEC INDUSTRIES, INC.",BIRMINGHAM,ALABAMA,"33.5185892, -86.8103567"
"ALTERNATIVES, INC.",BILLINGS,MONTANA,"45.78277689999999, -108.5045938"
ALUTIIQ COMMERCIAL ENTERPRISES LLC,ANCHORAGE,ALASKA,"61.2175758, -149.8996785"
"ALVAREZ & MARSAL PUBLIC SECTOR SERVICES, LLC",NEW YORK,NEW YORK,"40.7127753, -74.0059728"
"ALVIS, INC.",COLUMBUS,OHIO,"39.9625112, -83.0032218"
ALVOGEN INC.,MORRISTOWN,NEW JERSEY,"40.7922983, -74.4763123"
AM GENERAL LLC,SOUTH BEND,INDIANA,"41.6763545, -86.25198979999999"
AM GENERAL LLC,SOUTH BEND,INDIANA,"41.6763545, -86.25198979999999"
"AMAZON WEB SERVICES, INC.",SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
AMEC FOSTER WHEELER - HDR JOINT VENTURE,RALEIGH,NORTH CAROLINA,"35.7795897, -78.6381787"
"AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE, INC.",BLUE BELL,PENNSYLVANIA,"40.1523309, -75.26628900000001"
"AMEDISTAF, LLC",ROGERS,ARKANSAS,"36.3335129, -94.12569529999999"
"AMENTUM ENVIRONMENT & ENERGY, INC.",AIKEN,SOUTH CAROLINA,"33.56055449999999, -81.71950559999999"
AMENTUM SERVICES INC,GERMANTOWN,MARYLAND,"39.1731621, -77.2716502"
AMENTUM SPACEPORT LLC,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
AMERESCO INC,FRAMINGHAM,MASSACHUSETTS,"42.279286, -71.4161565"
"AMERICAN BEEF PACKERS, INC.",CHINO,CALIFORNIA,"34.0136813, -117.6905621"
"AMERICAN BLANCHING COMPANY, LLC",FITZGERALD,GEORGIA,"31.7149082, -83.25265449999999"
AMERICAN BRIDGE COMPANY,CORAOPOLIS,PENNSYLVANIA,"40.5184013, -80.1667247"
AMERICAN BUREAU OF SHIPPING,SPRING,TEXAS,"30.0799405, -95.41716009999999"
AMERICAN EAGLE PROTECTIVE SERVICES CORPORATION,LEANDER,TEXAS,"30.5788055, -97.8530686"
AMERICAN ELECTRIC POWER COMPANY INC,COLUMBUS,OHIO,"39.9625112, -83.0032218"
"AMERICAN ELECTRONIC WARFARE ASSOCIATES, INCORPORATED",CALIFORNIA,MARYLAND,"38.3004029, -76.5074542"
"AMERICAN FOODS GROUP, LLC",GREEN BAY,WISCONSIN,"44.5133188, -88.0132958"
AMERICAN FOUNDATION FOR BIOLOGICAL RESEARCH,ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
"AMERICAN MEDICAL RESPONSE, INC.",GREENWOOD VILLAGE,COLORADO,"39.6172101, -104.9508141"
"AMERICAN NATIONAL RED CROSS, THE",WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
AMERICAN ORDNANCE LLC,MIDDLETOWN,IOWA,"40.8271358, -91.26151689999999"
AMERICAN PETROLEUM TANKERS LLC,BLUE BELL,PENNSYLVANIA,"40.1523309, -75.26628900000001"
"AMERICAN PRESIDENT LINES, LLC",ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
AMERICAN RHEINMETALL MUNITION INC,STAFFORD,VIRGINIA,"38.4220687, -77.4083086"
"AMERICAN ROLL-ON ROLL-OFF CARRIER, LLC",PARSIPPANY,NEW JERSEY,"40.8664763, -74.4100392"
"AMERICAN STATES UTILITY SERVICES, INC.",SAN DIMAS,CALIFORNIA,"34.1066756, -117.8067257"
AMERICAN SYSTEMS CORPORATION,CHANTILLY,VIRGINIA,"38.88698189999999, -77.4390375"
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VIRGINIA,"38.7512726, -77.4706769"
"AMERICAN WATER ENTERPRISES, LLC",CAMDEN,NEW JERSEY,"39.9425241, -75.1164689"
"AMERICAN WATER MILITARY SERVICES, LLC",VOORHEES,NEW JERSEY,"39.8448391, -74.94168549999999"
"AMERICAN WATER OPERATIONS AND MAINTENANCE, INC.",VOORHEES,NEW JERSEY,"39.8448391, -74.94168549999999"
"AMERIGAS PROPANE, L.P.",KING OF PRUSSIA,PENNSYLVANIA,"40.1012856, -75.3835525"
"AMERIQUAL GROUP, LLC",EVANSVILLE,INDIANA,"37.9715592, -87.5710898"
"AMERIQUAL GROUP, LLC",EVANSVILLE,INDIANA,"37.9715592, -87.5710898"
"AMERIQUAL GROUP, LLC",EVANSVILLE,INDIANA,"37.9715592, -87.5710898"
AMERISOURCEBERGEN DRUG CORP,CONSHOHOCKEN,PENNSYLVANIA,"40.0792766, -75.3015714"
"AMES CONSTRUCTION, INC.",BURNSVILLE,MINNESOTA,"44.7677424, -93.27772259999999"
"AMETEK AMERON, LLC",BALDWIN PARK,CALIFORNIA,"34.0852868, -117.9608978"
"AMETEK PROGRAMMABLE POWER, INC.",SAN DIEGO,CALIFORNIA,"32.715738, -117.1610838"
AMETEK SCP INC,WESTERLY,RHODE ISLAND,"41.3766798, -71.8288077"
AMETEK THERMAL SYSTEMS INC,GARDEN CITY,NEW YORK,"40.7267682, -73.6342954"
"AMHERST MADISON, INC",CHARLESTON,WEST VIRGINIA,"38.3498195, -81.6326234"
AMSEC LLC,VIRGINIA BEACH,VIRGINIA,"36.8516437, -75.97921939999999"
ANALEX CORPORATION,CHANTILLY,VIRGINIA,"38.88698189999999, -77.4390375"
ANALYSIS GROUP INC,BOSTON,MASSACHUSETTS,"42.3555076, -71.0565364"
ANALYTIC SERVICES INC.,FALLS CHURCH,VIRGINIA,"38.88233400000001, -77.1710914"
ANCRA INTERNATIONAL LLC,HEBRON,KENTUCKY,"39.0661472, -84.70318879999999"
ANDERSONS INC,MAUMEE,OHIO,"41.5628294, -83.65382439999999"
ANDRITZ HYDRO CORP.,CHARLOTTE,NORTH CAROLINA,"35.2215548, -80.840116"
"ANDURIL INDUSTRIES, INC.",WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"ANNUM ARCHITECTS, INC.",BOSTON,MASSACHUSETTS,"42.3555076, -71.0565364"
ANSYS INC,CANONSBURG,PENNSYLVANIA,"40.2625702, -80.18727969999999"
"AON CONSULTING, INC.",WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"APHENA PHARMA SOLUTIONS - TENNESSEE, LLC",COOKEVILLE,TENNESSEE,"36.1625445, -85.4988041"
APOGEE ENGINEERING LLC,COLORADO SPRINGS,COLORADO,"38.8353142, -104.8216009"
APPLIED ENGINEERING MANAGEMENT CORP,HERNDON,VIRGINIA,"38.9695545, -77.3860976"
APPLIED PHYSICAL SCIENCES CORP.,GROTON,CONNECTICUT,"41.3481528, -72.07866299999999"
"APPLIED RESEARCH ASSOCIATES, INC.",ALBUQUERQUE,NEW MEXICO,"35.0843859, -106.650422"
"APPLIED RESEARCH ASSOCIATES, INC.",LOS ALTOS,CALIFORNIA,"37.3852183, -122.1141298"
"APPLIED RESEARCH SOLUTIONS, INC.",BEAVERCREEK,OHIO,"39.7092262, -84.06326849999999"
APPLIED TECHNOLOGY COUNCIL,REDWOOD CITY,CALIFORNIA,"37.4847955, -122.228141"
"APTIM CONSTRUCTION JV, LLC",ALEXANDRIA,VIRGINIA,"38.804693, -77.0435257"
APTIM FEDERAL SERVICES LLC,BATON ROUGE,LOUISIANA,"30.4514677, -91.18714659999999"
"APTIM HDR, LLC",ALEXANDRIA,VIRGINIA,"38.804693, -77.0435257"
APTIMA INC,WOBURN,MASSACHUSETTS,"42.4792618, -71.1522765"
APTIM-AMENTUM ALASKA DECOMMISSIONING LLC,BATON ROUGE,LOUISIANA,"30.4514677, -91.18714659999999"
"AQUA ENGINEERS, INC.",KALAHEO,HAWAII,"21.9255709, -159.5272115"
AR1,GOLETA,CALIFORNIA,"34.4358294, -119.8276389"
ARAMARK SPORTS AND ENTERTAINMENT SERVICES LLC,PHILADELPHIA,PENNSYLVANIA,"39.9525839, -75.1652215"
ARBOR E & T LLC,LOUISVILLE,KENTUCKY,"38.2468618, -85.7663724"
ARBOR RESEARCH COLLABORATIVE FOR HEALTH,ANN ARBOR,MICHIGAN,"42.2808256, -83.7430378"
ARC - IMPERIAL VALLEY,EL CENTRO,CALIFORNIA,"32.792, -115.5630514"
"ARCADIS U.S., INC.",HIGHLANDS RANCH,COLORADO,"39.5480789, -104.9739333"
"ARCH CHEMICALS, INC.",ALPHARETTA,GEORGIA,"34.0746204, -84.29228619999999"
ARCHER WESTERN FEDERAL JV,CHICAGO,ILLINOIS,"41.8781136, -87.6297982"
ARCHER-DANIELS-MIDLAND COMPANY,CHICAGO,ILLINOIS,"41.8781136, -87.6297982"
"ARCTOS TECHNOLOGY SOLUTIONS, LLC",BEAVERCREEK,OHIO,"39.7092262, -84.06326849999999"
ARDENT MILLS LLC,DENVER,COLORADO,"39.7392358, -104.990251"
ARES TECHNICAL SERVICES CORPORATION,MCLEAN,VIRGINIA,"38.9338676, -77.1772604"
"ARGON ST, INC.",FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
"ARGON ST, INC.",SMITHFIELD,PENNSYLVANIA,"39.8031324, -79.80782889999999"
ARINC INCORPORATED,ANNAPOLIS,MARYLAND,"38.9764364, -76.489642"
ARIZONA INDUSTRIES FOR THE BLIND,PHOENIX,ARIZONA,"33.4482266, -112.0776781"
ARIZONA PUBLIC SERVICE COMPANY,PHOENIX,ARIZONA,"33.4482266, -112.0776781"
ARIZONA STATE UNIVERSITY,TEMPE,ARIZONA,"33.4255104, -111.9400054"
"ARKWIN INDUSTRIES, INC.",WESTBURY,NEW YORK,"40.7556561, -73.5876273"
ARMA GLOBAL CORPORATION,TAMPA,FLORIDA,"27.9516896, -82.45875269999999"
ARMED FORCES SERVICES CORPORATION,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
ARMTEC COUNTERMEASURES CO,COACHELLA,CALIFORNIA,"33.6803003, -116.173894"
ARMTEC DEFENSE PRODUCTS CO.,COACHELLA,CALIFORNIA,"33.6803003, -116.173894"
"ARORA GROUP, INC., THE",GAITHERSBURG,MARYLAND,"39.1439689, -77.2016062"
ART CRAFT FABRICATORS INC,PORTSMOUTH,VIRGINIA,"36.8354258, -76.2982742"
"ARTEL, LLC",HERNDON,VIRGINIA,"38.9695545, -77.3860976"
ARUP LABORATORIES INC,SALT LAKE CITY,UTAH,"40.7605601, -111.8881397"
ASM RESEARCH LLC,FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
ASMD LLC,HONOLULU,HAWAII,"21.3098845, -157.8581401"
"ASRC FEDERAL FACILITIES LOGISTICS, LLC",FAIRFIELD,NEW JERSEY,"40.8681844, -74.31161949999999"
ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY INCORPORATED,BALTIMORE,MARYLAND,"39.2905023, -76.6104072"
"ASSURED INFORMATION SECURITY, INC.",ROME,NEW YORK,"43.2128473, -75.4557303"
ASTRONAUTICS CORPORATION OF AMERICA,OAK CREEK,WISCONSIN,"42.8858503, -87.8631362"
ASTRONICS TEST SYSTEMS INC,ORLANDO,FLORIDA,"28.5383832, -81.3789269"
ASTROTECH SPACE OPERATIONS LLC,TITUSVILLE,FLORIDA,"28.6080347, -80.8084112"
AT&T CORP,OAKTON,VIRGINIA,"38.8809451, -77.3008172"
AT&T CORP.,COLUMBIA,MARYLAND,"39.2037144, -76.86104619999999"
AT&T MOBILITY LLC,ATLANTA,GEORGIA,"33.7501275, -84.3885209"
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",HANOVER,MARYLAND,"39.19550419999999, -76.7228227"
ATKINS - BLACK & VEATCH - FSB JV,DENVER,COLORADO,"39.7392358, -104.990251"
"ATKINS NORTH AMERICA, INC.",NASHVILLE,TENNESSEE,"36.1626638, -86.7816016"
ATKINSREALIS USA INC,TAMPA,FLORIDA,"27.9516896, -82.45875269999999"
ATLANTIC COMMTECH CORP,VIRGINIA BEACH,VIRGINIA,"36.8516437, -75.97921939999999"
"ATLANTIC DIVING SUPPLY, INC.",VIRGINIA BEACH,VIRGINIA,"36.8516437, -75.97921939999999"
ATMOS ENERGY CORPORATION,DALLAS,TEXAS,"32.7766642, -96.79698789999999"
ATMOSPHERIC & SPACE TECHNOLOGY RESEARCH ASSOCIATES LLC,LOUISVILLE,COLORADO,"39.977763, -105.1319296"
"ATMOSPHERIC AND ENVIRONMENTAL RESEARCH, INC.",LEXINGTON,MASSACHUSETTS,"42.4473497, -71.2271531"
AUBURN UNIVERSITY,AUBURN,ALABAMA,"32.6082403, -85.4799167"
AUDACIOUS INQUIRY LLC,CATONSVILLE,MARYLAND,"39.2720509, -76.73191609999999"
"AUGUST SCHELL ENTERPRISES, INC.",ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
AURORA FLIGHT SCIENCES CORPORATION,MANASSAS,VIRGINIA,"38.7512726, -77.4706769"
"AUSTAL USA, LLC",MOBILE,ALABAMA,"30.6953657, -88.0398912"
AVANTUS FEDERAL LLC,MCLEAN,VIRGINIA,"38.9338676, -77.1772604"
"AVAYA FEDERAL SOLUTIONS, INC.",SPRINGFIELD,VIRGINIA,"38.7892801, -77.18720359999999"
AVERA HEALTH,SIOUX FALLS,SOUTH DAKOTA,"43.5460223, -96.731265"
